商品名稱,留言網址,留言者,星等,留言時間,留言地點,SKU,留言內容,覺得留言有用人數
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Leanne Kirby,5.0,2024-04-18,美國,尺寸: 3X-Large顏色: Stone,"
I bought this shirt for my husband. He has a belly and we struggle with shirts being too short. We got a 2xl and it really fit perfectly. It's very comfortable and light. It makes for an awesome summer shirt!
",2
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Daniel Carrillo,5.0,2024-04-14,美國,尺寸: X-Large顏色: Light Green,"
I just love the fit and the fabric is really nice well made, will buy more
",0
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,R Bernal,4.0,2024-04-05,美國,尺寸: X-Large顏色: Stone,"
Love this shirt. My husband loved it too just wish it fit better. Got him an Xl which is what he normally wears. Should have gone with a large. It is not a “fitted” fit.
",3
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,BarbellJobs,5.0,2024-04-15,美國,尺寸: Large顏色: Light Green,"
This men's linen short sleeve shirt is your summer wardrobe MVP, offering a breezy, breathable touch that keeps you looking and feeling cool as a cucumber. Perfect for beach days, backyard barbecues, or any hot day at the office. Linen’s natural lightness and moisture-wicking properties mean you can stay fresh and crisp from sunup to sundown. Whether you're aiming for a casual look or dressing up for a summer evening out, this shirt pairs effortlessly with shorts or chinos, making style and comfort synonymous.
",0
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SEMION,5.0,2024-02-23,美國,尺寸: Large顏色: Light Green,"
Everything is according to the description. I will say more, everything is wonderful, the size and tailoring suited me exactly, and I like the material, I am satisfied. I recommend this company to everyone - very high-quality and stylish things for reasonable money. The mother's profile is a little different, she looks a little different in the photo.
",6
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Marc,5.0,2024-04-19,美國,尺寸: X-Large顏色: Light Green,"
Fabric is thick, but not heavy. Very comfortable.
",0
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,robert phelps,3.0,2024-04-18,美國,,"
It's s really nice shirt just way to small...
",0
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,E Jones,5.0,2024-04-03,美國,尺寸: Large顏色: Stone,"
The fabric is smooth, launders well & looks great.
",1
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Monte Franks,5.0,2024-04-21,美國,尺寸: X-Large顏色: Grey,"
When I got the package and opened it I thought “ I got ripped off”… (Not True)Very well made looks great! Looks new again after wash and dry. Bought two more of different colors about a week later. Fast delivery. All good!
",0
COOFANDY 男款 亞麻 襯衫 短袖 休閒 襯衫 鈕扣 襯衫 男款 海灘 夏季 婚禮 襯衫,https://www.amazon.com/-/zh_TW/COOFANDY-%E7%94%B7%E6%AC%BE-%E4%BA%9E%E9%BA%BB-%E8%A5%AF%E8%A1%AB-%E7%9F%AD%E8%A2%96/product-reviews/B0CPTHL7KT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,William,4.0,2024-04-14,美國,尺寸: Medium顏色: Light Green,"
really nice color, goes well with a lot of browns and yellows. makes me feel like an 84 year old librarian in the best ways
",0
